ID,Text,Colour,Position,Date,Pass_Ct,Rej_Ct
5534,表白1814刘文染,white,Bottom,"12/29/2016, 7:43:43 PM",8,0
10315,醒醒吧王巳震，你还没有女朋友,white,Bottom,"12/29/2016, 8:24:22 PM",5,1
7999,姚t是谁啊,white,Top,"12/29/2016, 8:01:33 PM",9,0
11498,你的梦想是！,red,Top,"12/29/2016, 8:55:52 PM",6,0
3992,勋鹿勋鹿勋鹿,white,Bottom,"12/29/2016, 7:20:07 PM",7,1
260,┻━┻︵╰(‵□′)╯︵┻━┻,blue,Top,"12/29/2016, 6:19:54 PM",4,0
6245,信不信把你们阿了,red,Bottom,"12/29/2016, 7:48:02 PM",6,3
10859,周如辰………出来打一架？,white,Top,"12/29/2016, 8:43:09 PM",5,1
11119,我是叶倍瑜，高一十班的期末考我已经想好了，你们自己看着办吧,white,Bottom,"12/29/2016, 8:46:14 PM",5,0
10341,表白戴笠,green,Top,"12/29/2016, 8:24:47 PM",0,6
1817,表白szm,white,Top,"12/29/2016, 6:52:42 PM",8,0
6917,吴妈：在二附中选啥都别选政治,green,Top,"12/29/2016, 7:54:05 PM",9,0
4080,杨欣怡你现在来禁我言啊,white,Bottom,"12/29/2016, 7:20:40 PM",8,0
5160,翔盟最强,white,Top,"12/29/2016, 7:40:23 PM",9,0
10271,表白徐申卓,white,Top,"12/29/2016, 8:23:37 PM",6,0
1971,喜欢1709hxy,white,Top,"12/29/2016, 6:57:55 PM",2,0
8010,我是王嘉尔，我爱陈晓葳,white,Top,"12/29/2016, 8:01:39 PM",9,0
8424,1913：玉梅梅，我们能行 1913：玉梅梅，我们能行 ,white,Top,"12/29/2016, 8:04:46 PM",8,0
10102,Double laughed,white,Bottom,"12/29/2016, 8:22:05 PM",7,0
3928,1408,white,Top,"12/29/2016, 7:19:46 PM",7,0
7088,表白程宇昂！！！,blue,Top,"12/29/2016, 7:55:13 PM",9,0
11622,我选择郭宏伟老师,blue,Top,"12/29/2016, 8:58:23 PM",6,0
4658,俊秀傻笑报道,white,Bottom,"12/29/2016, 7:24:36 PM",7,1
2114,不如阿垇,red,Top,"12/29/2016, 7:00:57 PM",2,3
775,垇寅可爱,white,Top,"12/29/2016, 6:28:30 PM",11,0
7684,表白话剧社社长！,white,Top,"12/29/2016, 7:59:19 PM",9,0
9420,所以，别等了，去追吧hhh,white,Top,"12/29/2016, 8:16:00 PM",9,0
386,苟,green,Top,"12/29/2016, 6:20:40 PM",4,0
5046,张江学妹（弟）就是我i！,green,Top,"12/29/2016, 7:39:26 PM",9,0
5062,王骏是全二附中最骚的骚猪,green,Bottom,"12/29/2016, 7:39:33 PM",8,1
1294,李君儒彭颖嘉1314,red,Top,"12/29/2016, 6:44:40 PM",7,0
7186,政治政治政治政治政治政治政治政治政治政治政治政治政治政治政治,white,Bottom,"12/29/2016, 7:55:55 PM",8,1
2446,我黄成瑶最帅，你们都是渣渣,red,Bottom,"12/29/2016, 7:06:01 PM",5,0
11310,我选择周杰伦老师,white,Bottom,"12/29/2016, 8:52:39 PM",6,0
2839,表白efboys,white,Top,"12/29/2016, 7:10:09 PM",5,0
6338,Brandon Ingram,white,Top,"12/29/2016, 7:48:53 PM",8,1
2771,紫竹高一三赵天翼表白莫子敏,green,Bottom,"12/29/2016, 7:08:57 PM",5,1
6661,李祺悠的腿太好看了吧！！,white,Bottom,"12/29/2016, 7:52:08 PM",7,1
11809,高晓松老师加油,white,Bottom,"12/29/2016, 9:07:05 PM",5,1
7139,小朋友你们挖了一个大坑让我跳啊,white,Top,"12/29/2016, 7:55:28 PM",9,0
8409,deep♂dark♂fantasy,white,Bottom,"12/29/2016, 8:04:37 PM",4,4
1661,王巳震老师你还是没有女朋友！！！,blue,Top,"12/29/2016, 6:49:14 PM",8,1
9721,如果奇迹有颜色的话 那么它一定是橙色的 μ'sic forever！,red,Top,"12/29/2016, 8:18:42 PM",7,1
3392,栎,white,Top,"12/29/2016, 7:16:33 PM",7,0
11938,高三学弟学妹们加油！！！,white,Top,"12/29/2016, 9:09:52 PM",6,0
1193,test,green,Top,"12/29/2016, 6:36:56 PM",5,0
199,1804ysj表白1802zyr,white,Top,"12/29/2016, 6:13:16 PM",3,0
299,18点20弹幕测试,white,Top,"12/29/2016, 6:20:11 PM",4,0
11003,wowwwww,white,Bottom,"12/29/2016, 8:44:47 PM",5,0
7373,表白1902高翊菲！,white,Top,"12/29/2016, 7:57:18 PM",9,0
8012,杨顶立称第二 谁敢称第一,red,Top,"12/29/2016, 8:01:39 PM",9,0
4549,市北万岁,red,Top,"12/29/2016, 7:23:55 PM",6,1
11426, 此生无悔入花儿,white,Top,"12/29/2016, 8:54:53 PM",6,0
497,徐申卓是我孙子,white,Top,"12/29/2016, 6:22:16 PM",5,3
6278,1604的众人把KFC留给高二年级组！,white,Top,"12/29/2016, 7:48:18 PM",9,0
8512,表白顾兆一学姐,blue,Top,"12/29/2016, 8:05:23 PM",8,0
10957,顾睿祈世界第一可爱！,blue,Top,"12/29/2016, 8:44:15 PM",5,0
7556,华老师手好看,red,Top,"12/29/2016, 7:58:30 PM",8,1
2444,我是1607学霸李光伟，我在清华大学，我需要一个女票,white,Top,"12/29/2016, 7:06:01 PM",5,0
4746,勇士82胜 勇士82胜 勇士82胜 勇士82胜 勇士82胜,green,Bottom,"12/29/2016, 7:25:12 PM",8,1
4151,有没有鸟宝宝啊！！！,green,Top,"12/29/2016, 7:21:13 PM",7,0
1823,表白珍妮嘻嘻(  ்́ꇴ ்̀)♡,white,Top,"12/29/2016, 6:52:59 PM",7,1
385,金刚芭比,green,Bottom,"12/29/2016, 6:20:40 PM",4,1
